id,title,year,movie_embedding
7,Sabrina,1995,"[0.013162022,-0.007592217,0.016780617,0.02759229,0.006956862,-0.014063984,0.0063349963,-0.009555339,0.0029230956,0.008747128,-0.0033243196,0.002751665,0.009799659,-0.008453186,-0.015941171,-0.018254515,0.003402731,-0.008036834,-0.0050296877,0.028637927,-0.007696821,0.009806408,0.006544663,0.00066857925,0.011880229,0.0043631215,-0.02340029,0.022398593,0.010584742,-0.007897159,0.010048877,-0.019406958,0.010008228,-0.015369957,0.0074377093,-0.008825084,0.019179856,-0.0024587058,0.034968723,0.03610602,0.0064397273,0.018747386,-0.00095196173,-0.00041254042,0.012409996,0.008052487,0.020360416,-0.014168634,-0.018142631,-0.0067347954,0.037106242,-0.033670425,0.022920514,0.00025719838,0.0012667103,0.017048642,0.004830093,0.024543172,0.001962962,-0.019222368,0.04953794,-0.00079176034,0.012982041,0.0012976865,0.026704757,-0.014342236,0.011729289,0.010231487,-0.0018469299,-0.012233896,0.007980182,0.009875419,0.007708088,-0.010409678,0.017207874,-0.03531688,-9.247463e-05,0.0028178117,0.005704139,0.04290012,-0.008441304,-0.016595619,-0.0018879911,0.03338485,0.015796758,0.013122928,0.00012154234,-0.013118544,-0.009585904,-0.009178029,0.00085054274,-0.016974863,0.004010569,-0.00393245,0.02786772,0.015360663,-0.0041748416,-0.00587369,0.012316036,-0.012851823]"
8,Tom and Huck,1995,"[0.0154624125,-0.0021416484,0.0024133767,0.008963636,0.0009158535,9.009063e-05,0.0010975667,0.009137658,0.0014645755,0.009628653,0.007251958,-0.016558686,0.00037493047,0.013011173,-0.010500401,0.0042091175,0.010314162,0.020863105,0.008607735,-0.00012951685,-0.0027357568,0.0057435604,0.00080433977,0.0074944063,0.0030518218,0.004238397,0.0077101383,0.0036090983,0.0042891186,-0.0057640267,0.0089847315,0.007172131,-0.0013633092,-0.0022475345,0.01459914,0.020206034,-0.011796498,0.01039794,-0.013644237,0.020773344,0.009238608,-0.0071550487,0.008912107,0.008358724,-0.0017823904,0.0052827187,0.0036266965,0.0027391,0.0048256665,-0.004783026,-0.0045342403,0.0008564772,0.006690734,-0.010313368,0.0008834594,0.007898242,0.007387359,0.010997354,0.0042371415,-0.0014713388,0.013761347,0.001565283,0.0015487785,-0.0010706951,0.0078587895,0.009714521,0.0015361516,-0.002952051,-0.0072622364,-0.0013306643,0.00029129206,-0.0032183772,0.006640819,0.0035427439,0.0049235313,0.002755129,0.017706309,0.008113606,-0.004261504,0.004892023,0.00922149,0.009090519,0.021939183,0.002971787,-0.0046485774,0.0145872785,0.015734265,0.0074587646,-0.001552954,0.006534988,0.020935262,0.008637627,0.0044373805,-0.0013001359,0.0040646004,-0.0017752375,-0.006447455,0.0040732697,-0.009999358,0.007163646]"
9,Sudden Death,1995,"[0.008775755,-0.0024386728,-0.0064911325,-0.005155857,-0.019437743,-0.0034713184,0.015526518,0.004659828,-0.02122545,0.00038711866,0.014703468,-0.0062479884,-0.012210863,0.0013598552,-0.005916004,0.009183955,0.0074037034,0.0039717075,0.004348518,0.0017089101,0.012209713,0.00694441,-0.0010015987,-0.010663765,8.965327e-05,-0.0039240643,0.010636435,0.010105868,-0.0043505686,0.016849635,0.0286862,0.0037653677,-0.002104718,-0.005151181,-0.0034876913,-0.0014927014,-0.0011332419,0.00034035044,0.005915734,-0.021921623,-0.008472083,0.0003264262,-0.0028272828,-0.020159349,-0.0008780623,0.016151449,0.0041871252,0.0018505458,0.0054211696,0.00065145426,0.016540566,-0.01980909,0.020349031,-0.012366718,0.017324647,-0.0046800724,0.014395362,-0.00999924,0.008280141,-0.0046871053,-0.013637961,-0.004967423,0.014821671,-0.0027332304,-0.0013598618,-0.0027274834,0.0050347866,0.013448896,0.0053680167,-0.00096441206,-0.019247042,-0.00897729,0.01626021,-0.0035366665,0.0049811266,-0.0053420486,0.001298088,-0.0067551713,0.0015030962,0.004410639,-0.010452443,0.016827637,0.010159047,0.008824408,0.0023506158,0.0015029078,0.005006267,-0.00033429908,-0.0069647883,-0.013651326,-0.011221565,0.018350396,-0.011878189,0.016652495,0.0026926955,0.0070681795,0.021913357,0.0028102335,-0.010209872,-0.014443946]"
10,GoldenEye,1995,"[-0.01366015,-0.0056633027,0.018981647,-0.029546643,-0.0030992469,0.02829506,0.009492547,0.021754073,0.009945403,-0.035834614,0.009960568,0.0011433559,-0.013480265,-0.017637335,-0.024708435,0.0028954663,0.014841893,0.011264716,-0.0031152572,-0.010286531,-0.016611956,-0.010230366,-0.0073837726,0.04060556,-0.03182903,0.017937176,-0.0010391284,-0.017072096,-0.011014979,0.034050673,0.009137822,0.0084028235,0.0011238623,0.028134929,0.021773102,0.029399503,-0.00648242,0.039971665,0.022947615,0.0034391528,-0.021673255,0.041942477,-0.0094934255,-0.0004933117,0.008601937,0.02248331,0.022265883,-0.008244817,-0.0056620687,0.020050233,0.00893371,0.0047981436,0.024070974,0.018318387,-0.02277195,0.00087662303,-0.03207431,-0.0047973804,-0.018688023,-0.007941416,0.01821197,0.0034207476,-0.007286482,-0.00061197946,0.024878358,0.0077995146,0.043755516,0.02729607,-0.010328474,0.01854043,-0.009140964,-0.027626922,0.02074149,-0.00612961,0.009716253,0.051484674,0.04206439,-0.0082819015,-0.0022537957,0.024715202,4.107355e-05,-0.012859032,-0.030136272,0.007725155,0.00039790288,0.013675479,0.0033237918,-0.013491395,0.02281947,0.0026266163,-0.0090952935,0.0019425213,-0.00867431,0.0012613114,0.020585142,0.018152969,-0.011028244,0.024115203,-0.0194488,-0.0045848344]"
11,"American President, The",1995,"[0.0014639529,0.007892002,-0.0065652123,0.0039823796,-0.0007928781,0.0039444147,-0.028053986,0.031832,0.01477343,-0.003604855,-0.0063267406,0.01583497,-0.003309931,-0.0006909273,0.011430205,0.026419207,-0.01841551,-0.011256117,0.0007030036,-0.012283084,0.014304945,0.008568877,0.010851121,0.00804463,-6.177157e-05,0.0033938186,-0.011121455,0.01909531,0.045707714,-0.00533516,0.021501392,-0.020820968,-8.445611e-05,0.008226153,0.008261955,-0.014776502,0.017416041,-0.0059328503,0.013016909,0.0017937456,0.00675886,0.0024063517,0.011344608,0.009608906,0.009922995,-0.0028421942,0.005955505,-0.010388958,0.00016244338,0.026975024,0.014834365,0.017413458,-0.00084559515,5.931196e-05,-0.015834913,0.017169982,0.021358026,0.015309455,0.009904594,-9.505311e-05,0.03732853,0.011873328,0.0037644352,0.018659363,0.007989647,-0.008645281,0.0007727119,-0.021308161,-0.018147394,0.00073226506,0.025152957,0.003925864,0.0012711034,0.00070806197,-0.0034194938,-0.008784735,0.006697549,0.013592619,0.0127874715,0.0071136574,-0.0015714904,0.004248537,-0.0009939197,-0.0012691924,0.0007623838,0.010575265,0.012331134,0.013778792,-0.011206289,0.005094407,-0.0023530044,-0.0034528011,0.010400036,0.004425022,0.009213821,-0.00014865202,-0.012210482,-0.0036050803,0.016377963,0.0049073845]"
12,Dracula: Dead and Loving It,1995,"[0.0053655035,-0.004079659,0.010487312,-0.0036011897,-0.005390533,-0.0015812517,0.005468119,0.014683355,0.014327191,-0.013232401,0.011821421,0.004572708,0.009250212,-0.014022677,-0.015331454,0.013303842,-0.0053513558,-0.013512992,-0.007873399,-0.004571968,0.016558688,-0.023396445,-0.0021885948,0.010297517,0.010923467,0.008807455,0.00081494014,0.004889627,0.0009284915,0.013854627,1.8326848e-05,-0.0017444638,0.011051164,0.0022860006,0.005946144,0.0017037538,0.008105957,0.005153001,0.0032796022,0.005376084,3.306147e-05,0.009832677,-0.010984865,0.012447142,0.0075287498,-0.0085605625,0.013173708,-0.016804045,0.0010094261,-0.014589349,0.0422159,-0.009464479,0.015913809,0.008453312,-0.004447638,-0.0020858299,-0.012739541,-0.009251147,0.0018959191,0.0032135632,0.004104509,0.004772268,0.02182394,0.018316124,-0.005553005,-0.017740738,-0.009503248,0.00678328,-0.015830344,-0.010564625,0.00059623644,-0.018973963,0.001096738,0.0044295955,0.0075535784,0.0018111425,-0.002972473,-0.018851245,0.011707201,-0.01721703,0.013505463,-0.017702317,0.00940588,-0.015789779,-0.0026077812,0.00092523964,0.0009944015,-0.012252638,0.015202453,0.010722485,0.0073213647,0.0066624093,-0.0058949664,0.00813644,-0.012082093,0.0064203492,-0.017166223,-0.0002661183,-0.016858263,-0.018639226]"
13,Balto,1995,"[0.00045231407,-0.0006507459,0.004576011,0.0074481005,-0.00634328,-0.008722728,-0.013028255,-0.009344443,0.0075129354,0.0023034904,-0.0065439325,0.011792967,-0.0057861856,0.007740694,0.002121481,0.005885717,0.016885083,0.005175385,-0.013279938,0.0065782405,0.01824731,-0.0015895903,0.008641954,0.00409863,0.010836874,0.006641618,-0.012444009,-9.78868e-05,-0.0076766023,-0.0037644824,0.002119239,-0.0046416167,0.010412967,0.005422411,0.013037753,0.016873913,0.008464125,0.030647673,-0.008594557,-0.016701566,-0.018802397,-0.002040422,0.008021069,-0.0051912805,0.0013069339,0.0008843787,-0.0048523294,0.009482221,-0.0005835372,0.00027342525,-0.012079573,0.016626293,0.0034763026,0.006990747,0.010623731,0.014092896,0.0027929442,-0.014392232,-0.010743279,-0.004315699,-0.01343591,0.0028280048,0.008872189,0.0022958673,0.0054663885,0.0038006038,0.0050649266,0.008161454,0.020807743,0.008562175,0.009378028,-0.020819155,0.010335343,0.0067417477,-0.00027611904,0.007486355,-0.004228165,0.007030772,0.009126155,-0.000915596,0.011849915,0.0046119723,0.023273278,0.0053187707,0.008334768,-0.0061938576,0.0005113332,-0.00615016,-0.025791697,-0.0016251003,-0.00025754154,-0.0031148356,-0.014535009,0.0023210763,0.008443029,0.0011913931,0.011670206,-0.0058223144,0.007448595,0.003283648]"
14,Nixon,1995,"[0.004483866,0.0059500677,0.0032203565,0.009080121,-0.007933781,-0.0021078642,0.0029274526,-0.005943942,0.006804901,0.005973911,0.0006777548,-0.012048402,-0.0017052628,0.0078514805,0.0016605371,-0.00047911776,0.0057921326,0.0018725478,0.009318907,-0.00031263955,0.012289093,0.005270551,0.0006720994,0.015495042,0.0050338446,0.005707763,0.005283559,0.011751182,0.009628432,0.005545005,0.0007183981,0.014958203,-0.00026135144,0.0013508188,0.010024026,0.013738163,-0.0035052695,-0.0005910082,0.004845762,-0.0019298727,0.0058354735,-0.0034750793,0.0050938786,0.02128248,-0.0090448735,-0.0088783465,0.009815475,0.0092062,0.0119780265,0.013609715,0.0021436492,0.014810066,-0.004105621,-0.009333581,0.0137169305,-0.0024839223,0.015410968,0.015274801,0.0003670292,0.00025877406,0.0043409243,0.012483211,0.011327904,0.005746454,0.003169325,0.0004697407,-0.005922267,0.005716498,-0.008351631,-0.0025971232,0.0014867062,0.0007780397,0.01172499,0.015002181,-0.0023269986,0.0010197671,0.015375959,0.013297366,0.0045323255,0.012370995,0.0136703,0.012484562,0.019360753,0.010266396,-0.002732921,0.0082715945,0.011245213,-0.004617392,-0.00024998497,0.009030834,0.011401332,-0.007335257,-0.0018232696,0.0036175116,-0.0109471185,-0.002105775,-0.013216738,-0.0011028665,-0.011016973,0.0062058326]"
15,Cutthroat Island,1995,"[-0.009215476,-0.0022239464,0.009593986,0.030945037,-0.0067031323,-0.014495501,0.01486748,0.00972316,0.00057674217,0.01770145,0.020044254,0.012001077,0.008717187,0.0028777516,0.00039594778,0.005726696,0.019216405,0.01689568,-0.029574262,-0.018946048,0.0074219005,0.002581019,0.012609204,0.01310424,-0.013219225,0.0050324635,-0.028550703,0.022193918,-0.009498496,-0.01736354,0.0027011128,-0.035796322,0.008542352,-0.0089249,0.010205808,0.0052685402,0.011592872,0.008472419,0.0043376307,0.012415589,0.020407496,0.008902364,-0.0032880856,-0.0046268045,0.0024256527,-0.0055888584,0.026256992,0.017214026,0.015064955,0.025242973,0.011198369,0.0040963097,0.007853608,0.019158028,0.0036586525,-0.011557009,-0.0067281886,0.0059357127,-0.0051611364,0.013224809,0.00026456596,0.0015101217,0.026309345,-0.003121751,0.03168792,-0.012241606,0.006443612,-0.00017755221,0.0051435595,-0.003195662,0.0065487875,0.031307925,0.02965161,0.036476858,0.022346415,0.0148602035,-0.009291077,-0.009139477,0.029017743,-0.018116508,0.027816486,0.04079722,0.015262801,0.013550838,0.013596996,0.03848613,0.0044426788,0.003452661,-0.010752036,-0.013072309,-0.010610089,0.020509623,0.012201541,0.023689108,-0.013238172,0.0042316695,0.017696105,-0.035153184,-0.0018486606,-0.007740642]"
16,Casino,1995,"[-0.009454254,0.008775572,0.007030117,0.042406164,-0.0036587333,-0.012032197,-0.0068248766,0.015030884,0.045362253,0.0040209973,0.016337791,-0.006986179,0.022650653,0.0031165855,-0.0066215107,0.010910601,-0.0032724764,-0.0056172307,-0.00843437,-0.012619183,0.017474351,0.017662464,0.011769919,0.031273466,0.012899332,0.020398755,0.013342815,-0.013976964,0.0066706054,0.017438201,0.0060361945,0.006838995,0.00070546474,0.020347495,0.0012875323,0.008512662,0.014375046,-0.00069742167,-0.0030953398,0.0050638174,-0.015124232,-0.002031373,-0.004253723,-0.016489996,0.0026651158,0.015752545,0.015825933,-0.007654048,0.008180316,-0.005501367,-0.0023538813,0.011125764,-0.02769816,-0.0011545308,-0.010351502,-0.019914357,0.009026414,0.001324455,0.0048124543,0.043806795,-0.030214889,0.012219089,0.0107091,0.0008586331,0.012629228,0.014503911,0.015262159,0.019892316,0.010399761,0.021144507,0.009441828,0.0055223037,0.021261742,-0.0034602087,0.04044337,0.005864565,-0.00087129895,0.024414869,0.013484169,0.024419734,-0.021813774,-0.0062506744,0.0011021789,0.024151556,0.024235824,-0.00020290095,0.02062562,-0.010456882,0.017923051,-0.011491396,0.016102403,0.0008565667,0.017373083,-0.003882761,-0.0030330606,0.019027537,0.004780333,0.011637573,0.0066338684,-0.0015886874]"
